국회의원코드,-,국회의원명,국회의원한자명,국회의원영문명,생일구분코드,생일일자,직책명,정당명,선거구명,선거구구분명,위원회명,소속위원회명,재선구분명,당선대수,성별,전화번호,국회의원이메일주소,국회의원홈페이지URL,보좌관,비서관,비서,약력,사무실 호실,국회의원사진
T8H6713N,역대의원,최연희,崔鉛熙,"Choi, Yeon Hee",음,1944-12-29,국회의원,신한국당/한나라당/한나라당/무소속,강원 동해시/강원도 동해삼척시/강원 동해삼척시/강원 동해시삼척시,지역구/지역구/지역구/지역구,null,"농림해양수산위원회, 예산결산특별위원회, 국제경쟁력강화및경제제도개혁에관한특별위원회, 국회운영위원회, 정치개혁입법특별위원회, 제15대국회의원총선거에있어서공정성시비국정조사특별위원회, 법제사법위원회, 윤리특별위원회/감사원장(전윤철)임명동의에관한인사청문특별위원회, 대법관(김용담)임명동의에관한인사청문특별위원회, 예산결산특별위원회, 대법관(고현철)임명동의에관한인사청문특별위원회, 문화관광위원회, 정무위원회, 환경노동위원회, 2010년세계박람회유치특별위원회, 법제사법위원회, 윤리특별위원회/행정자치위원회, 대법관(김영란)임명동의에관한인사청문특별위원회, 법제사법위원회/공항·발전소·액화천연가스인수기지주변대책특별위원회, 독도영토수호대책특별위원회, 지식경제위원회",4선,"제15대, 제16대, 제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/T8H6713N.jpg
2RB25984,역대의원,최영근,崔泳謹,Choi Yeoung-kun,음,1922-04-24,null,민주당/민주당/평화민주당,경남 울산군갑/경남 울산시울주구,지역구/지역구/전국구,null,"내무위원회/특정재벌밀수사건진상조사특별위원회, 지리산도벌사건조사특별위원회, 보건사회위원회, 예산결산특별위원회, 국회운영위원회, 농림위원회/윤리특별위원회, 문화공보위원회, 상공위원회, 보건사회위원회, 대전국제무역산업박람회지원특별위원회, 노동위원회, 지역감정해소특별위원회, 교통체신위원회",3선,"제5대, 제6대, 제13대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/2RB25984.jpg
06R3092T,역대의원,최영덕,崔永德,"Choi, Young-duk",음,1928-03-10,null,민주정의당,null,전국구,null,"예산결산특별위원회, 건설위원회",초선,제12대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/06R3092T.jpg
H6251808,역대의원,최영두,崔永斗,null,음,1923-03-15,null,민주공화당,전북 완주,지역구,null,문교공보위원회,초선,제6대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/H6251808.jpg
3C13711S,역대의원,최영두,崔泳斗,null,음,1905-12-30,null,무소속,경북 봉화,지역구,null,농림위원회,초선,제5대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/3C13711S.jpg
D4U4031E,역대의원,최영철,崔永喆,"Choi, Young-choul",음,1935-12-19,null,유신정우회/민주공화당/민주정의당/민주정의당,"전남 목포시,무안,신안군/전남 목포시,무안,신안군/전남 목포시,무안,신안군",통일주체국민회의/지역구/지역구/지역구,null,"재무위원회, 상공위원회/국회운영위원회, 재무위원회/재무위원회, 보건사회위원회/재무위원회, 보건사회위원회",4선,"제9대, 제10대, 제11대, 제12대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/D4U4031E.jpg
EMK10069,역대의원,최영철,崔營哲,null,음,1907-08-02,null,무소속,전남 나주갑,지역구,null,"교통체신위원회, 국회운영위원회, 농림위원회, 재정경제위원회",초선,제3대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/EMK10069.jpg
2RN16870,역대의원,최영한,崔英漢,Choi Young-han,음,1940-06-15,null,통일국민당,null,전국구,null,"국제경쟁력강화및경제제도개혁에관한특별위원회, 교육위원회, 행정위원회, 문화체육공보위원회, 환경보전대책특별위원회, 문화공보위원회",초선,제14대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/2RN16870.jpg
4SF3150L,역대의원,최영희,崔榮熙,Choi Young-hee,음,1939-10-23,국회의원,새천년민주당,비례대표,비례대표,null,"감사원장(윤성식)임명동의에관한인사청문특별위원회, 장애인특별위원회, 교육위원회, 국무총리(장대환)임명동의에관한인사청문특별위원회, 문화관광위원회, 여성위원회, 실업대책특별위원회, 예산결산특별위원회, 보건복지위원회, 여성특별위원회",초선,제16대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/4SF3150L.jpg
JDL6609Q,역대의원,최영희,崔榮喜,null,음,1921-03-01,null,민주공화당/유신정우회/유신정우회/유신정우회,경기 평택,전국구/지역구/통일주체국민회의/통일주체국민회의,null,"국방위원회/건설위원회/외무위원회, 국방위원회/교통체신위원회, 국회운영위원회, 국회상임위원회위원정수에관한규칙개정특별위원회",4선,"제7대, 제8대, 제9대, 제10대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/JDL6609Q.jpg
W0E4362P,역대의원,최영희,崔英姬,"Choi, Young-Hee",양,1950-07-20,null,통합민주당,비례대표,비례대표,null,"저출산고령화대책특별위원회, 국무총리(김황식) 임명동의에 관한 인사청문특별위원회, 보건복지위원회, 여성가족위원회, 일자리만들기특별위원회, 예산결산특별위원회, 보건복지가족위원회, 여성위원회",초선,제18대,여,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/W0E4362P.jpg
YTA7297R,역대의원,최영희,崔英姬,CHOI YOUNGHEE,양,1951-06-02,null,국민의힘,비례대표,비례대표,null,null,초선,제21대,여,null,null,null,null,null,null,[주요 약력]  (現) 제21대 국회 보건복지위원회 위원  (現) 제21대 국회 보건복지위원회 청원심사소위원장  (現) 한-스웨덴 의원친선협회 이사  (現) 한-에티오피아 의원친선협회 이사  (現) 한일의원연맹 정회원  (現) 한국아동인구환경의원연맹(CPE) 정회원  (前) 사)대한미용사회 중앙회 제20&middot;21&middot;22&middot;23대 중앙회장  (前) 사)한국여성단체협의회 부회장  (前) 사)소상공인단체연합회 부회장  (前) 중소기업 명예 옴부즈만  (前) OMC 헤어월드 조직위원장  [학력 및 수상]  서경대학교 미용학 명예박사  영산대학교 미용학 명예박사  석탑산업훈장 수상  OMC 골든글러브 수상  ,null,https://www.assembly.go.kr/static/portal/img/openassm/YTA7297R.jpg
7W28547U,역대의원,최용규,崔龍圭,"Choi, Yong-gyu",음,1956-03-10,국회의원,새천년민주당/열린우리당,인천광역시 부평구을/인천 부평구을,지역구/지역구,null,"장애인특별위원회, 예산결산특별위원회, 대법관(고현철)임명동의에관한인사청문특별위원회, 재정경제위원회, 건설교통위원회, 통일외교통상위원회, 법제사법위원회, 보건복지위원회, 2010년세계박람회유치특별위원회, 2002년월드컵등국제경기대회지원특별위원회, 문화관광위원회/국제경기대회지원특별위원회, 정무위원회, 정보위원회, 2014년인천아시아경기대회유치특별위원회, 통일외교통상위원회, 문화관광위원회, 헌법재판소장(전효숙)임명동의및헌법재판소재판관(목영준,이동흡)선출에관한인사청문특별위, 환경노동위원회, 국회상임위원회위원정수에관한규칙개정특별위, 윤리특별위원회, 국회운영위원회, 투명사회협약실천특별위원회, 대법관(양승태)임명동의에관한인사청문특별위원회, 산업자원위원회, 대법관(김영란)임명동의에관한인사청문특별위원회, 법제사법위원회, 예산결산특별위원회",재선,"제16대, 제17대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/7W28547U.jpg
R3W4686C,역대의원,최용근,崔容根,null,음,1919-11-09,null,자유당/자유당,강원 강릉시갑/강원 강릉,지역구/지역구,null,재정경제위원회/재정경제위원회,재선,"제3대, 제4대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/R3W4686C.jpg
8DO2590W,역대의원,최용수,崔龍洙,null,음,1924-06-18,null,민주공화당/유신정우회,null,전국구/통일주체국민회의,null,"예산결산특별위원회, 보건사회위원회/보건사회위원회",재선,"제8대, 제9대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/8DO2590W.jpg
ECA36947,역대의원,최용안,崔容安,null,음,1940-09-25,null,한국국민당,"전북 남원시,임실,남원,순창군",지역구,null,"헌법개정특별위원회, 예산결산특별위원회, 보건사회위원회, 농수산위원회",초선,제12대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/ECA36947.jpg
50S18339,역대의원,최우근,崔宇根,null,음,1926-09-18,null,유신정우회/유신정우회,null,통일주체국민회의/통일주체국민회의,null,"예산결산특별위원회, 국방위원회/국방위원회",재선,"제9대, 제10대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/50S18339.jpg
MPQ32684,역대의원,최욱철,崔旭澈,Choi Wook Cheul,음,1953-02-09,null,민주당/통합민주당/무소속,"강원 명주,양양/강원 강릉시을/강원 강릉시",지역구/지역구/지역구,null,"국회운영위원회, 예산결산특별위원회, 농림수산위원회, 내무위원회/국회운영위원회, 예산결산특별위원회, 건설교통위원회/국제경기대회(세계육상선수권대회, 아시아경기대회, 포뮬러원국제자동차경주대회)지원특별위원회, 국토해양위원회",3선,"제14대, 제15대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/MPQ32684.jpg
UE734287,역대의원,최운교,崔雲敎,null,음,1900-09-19,null,무소속,충남 논산을,지역구,null,법제사법위원회,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/UE734287.jpg
ZJI5740K,역대의원,최운열,崔運烈,CHOI WOONYOUL,음,1950-04-02,null,더불어민주당,비례대표,비례대표,null,"4차 산업혁명 특별위원회, 미래일자리 특별위원회, 정무위원회",초선,제20대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/ZJI5740K.jpg
WRP6148P,역대의원,최운지,崔雲芝,Choi Woon-ji,음,1927-09-15,null,신한민주당/민주정의당/민주자유당,대구 서구을,전국구/지역구/전국구,null,"재무위원회, 헌법개정특별위원회, 예산결산특별위원회, 상공위원회/대전국제무역산업박람회지원특별위원회, 예산결산특별위원회, 재무위원회/내무위원회, 체신과학기술위원회, 경제과학위원회",3선,"제12대, 제13대, 제14대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/WRP6148P.jpg
5FS4155K,역대의원,최원봉,崔元鳳,null,음,1922-00-00,null,무소속,경남 부산무,지역구,null,null,초선,제2대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/5FS4155K.jpg
63O72988,역대의원,최원수,崔遠壽,null,음,1912-08-25,null,무소속,경북 영일갑,지역구,null,"국회운영위원회, 상공위원회, 교통체신위원회",초선,제2대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/63O72988.jpg
EOY55268,역대의원,최원식,崔元植,CHOI Won Sik,음,1963-03-08,null,민주통합당,인천 계양구을,지역구,null,"보건복지위원회, 국회운영위원회, 대법관(권순일) 임명동의에 관한 인사청문특별위원회, 예산결산특별위원회, 대법관(조희대) 임명동의에 관한 인사청문특별위원회, 미래창조과학방송통신위원회, 사법제도개혁 특별위원회, 허베이스피리트호 유류피해대책 특별위원회, 대법관(김소영)임명동의에 관한 인사청문특별위원회, 아동·여성대상 성폭력 대책 특별위원회, 태안유류피해대책 특별위원회, 법제사법위원회",초선,제19대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/EOY55268.jpg
GJR3977U,역대의원,최원호,崔瑗浩,null,음,1898-04-16,null,민주국민당/민주당,경남 김해갑/경남 김해갑,지역구/지역구,null,"내무위원회, 재정경제위원회, 국회운영위원회/농림위원회",재선,"제2대, 제5대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/GJR3977U.jpg
Q303455S,역대의원,최윤동,崔允東,null,음,1897-07-03,null,한국민주당,경북 대구갑,지역구,null,null,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/Q303455S.jpg
ME94446K,역대의원,최윤호,崔允鎬,null,음,1905-00-00,null,무소속,전북 김제을,지역구,null,null,초선,제2대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/ME94446K.jpg
UF53617M,현직의원,최은석,崔殷碩,CHOI EUNSEOK,음,1967-06-07,위원,국민의힘,대구 동구군위군갑,지역구,재정경제기획위원회,재정경제기획위원회,초선,제22대,남,02-784-9071,cesof@naver.com,null,"박원진, 윤용석","남완우, 오태윤","윤혜원, 정현우, 이권렬, 이승재, 서민서",학력 서울대학교 경영학과 학사 서울대학교 대학원 경영학과 석사과정 수료  경력 제22대 국회의원   국민의힘 원내대표 비서실장 국회 예산결산특별위원회 위원 국회 기획재정위원회 위원 전)CJ제일제당(주)대표이사 사장 전)삼일회계법인 공인회계사,의원회관 328호,https://www.assembly.go.kr/static/portal/img/openassm/new/9434f70d32fa4f5d9fdf1765e541b175.png
8J644357,역대의원,최이호,崔二鎬,Choi Ee-ho,음,1934-01-25,null,통일민주당,null,전국구,null,"예산결산특별위원회, 국회운영위원회, 5.18광주민주화운동진상조사특별위원회, 제5공화국에있어서의정치권력형비리조사특별위원회, 민주발전을위한법률개폐특별위원회, 건설위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/8J644357.jpg
4WB72353,역대의원,최익규,崔翊圭,null,음,1913-03-30,null,민주공화당,"강원 강릉,명주",지역구,null,"건설위원회, 농림위원회",초선,제7대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/4WB72353.jpg
6JA7962J,역대의원,최인규,崔仁圭,null,음,1919-03-09,null,자유당,경기 광주,지역구,null,외무위원회,초선,제4대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/6JA7962J.jpg
L3X8851C,역대의원,최인기,崔仁基,"Choi, In Kee",양,1944-03-18,국회의원,무소속/통합민주당,전남 나주시/전남 나주시화순군,지역구/지역구,null,"한미자유무역협정(FTA)체결대책특별위, 국회운영위원회, 정치관계법특별위원회, 예산결산특별위원회, 행정자치위원회, 규제개혁특별위원회, 건설교통위원회/농림수산식품위원회, 지방행정체제개편특별위원회, 정치개혁특별위원회, 국가균형발전 및 행정중심복합도시대책특별위원회, 예산결산특별위원회, 행정안전위원회, 가축전염병예방법개정특별위원회",재선,"제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/L3X8851C.jpg
LPB30152,역대의원,최인호,崔仁昊,CHOI INHO,음,1966-10-15,null,더불어민주당/더불어민주당,부산 사하구갑/부산 사하구갑,지역구/지역구,null,null,재선,"제20대, 제21대",남,null,null,null,null,null,null,더불어민주당 수석대변인 (2020. 8. ~ 2021. 5.) 더불어민주당 부산시당위원장 (2016. 8. ~ 2018. 8.) 더불어민주당 최고위원 (2016. 8. ~ 2017. 2.) 대통령비서실 국내언론비서관 (2006),null,https://www.assembly.go.kr/static/portal/img/openassm/LPB30152.jpg
9HW7898Q,역대의원,최재구,崔載九,"Choi, jae-ku",음,1929-07-13,null,민주공화당/민주공화당/민주공화당/한국국민당,경남 고성군/경남 충무.통영.고성.거제/경남 충무.통영.고성.거제,지역구/지역구/지역구/전국구,null,"경제의안정과성장에관한긴급명령심사특별위원회, 건설위원회/예산결산특별위원회, 재무위원회/경제과학위원회/내무위원회, 헌법개정특별위원회, 재무위원회",4선,"제8대, 제9대, 제10대, 제12대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/9HW7898Q.jpg
VE469451,역대의원,최재성,崔宰誠,CHOI JAE SUNG,음,1965-09-09,국회의원,열린우리당/통합민주당/민주통합당/더불어민주당,경기 남양주시/경기 남양주시갑/경기 남양주시갑/서울 송파구을,지역구/지역구/지역구/지역구,null,"국회운영위원회, 건설교통위원회, 투자활성화및일자리창출을위한특별위, 윤리특별위원회, 저출산및고령화사회대책특별위원회, 미래전략특별위원회, 교육위원회/장애인에 대한 성폭력 등 인권침해 방지대책특별위원회, 예산결산특별위원회, 외교통상통일위원회, 정보위원회, 국무총리(정운찬)임명동의에 관한 인사청문특별위원회, 정치개혁특별위원회, 국제경기대회(세계육상선수권대회, 아시아경기대회, 포뮬러원국제자동차경주대회)지원특별위원회, 교육과학기술위원회/기획재정위원회, 예산결산특별위원회/외교통일위원회, 공공부문 채용비리 의혹과 관련된 국정조사특별위원회, 국방위원회",4선,"제17대, 제18대, 제19대, 제20대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/VE469451.jpg
LIE6050F,역대의원,최재승,崔在昇,"Choi, Jae-seung",음,1946-02-04,국회의원,민주당/새정치국민회의/새천년민주당,전북 익산군/전북 익산시갑/비례대표,지역구/지역구/비례대표,null,"건설교통위원회, 예산결산특별위원회, 국회운영위원회, 건설위원회, 행정위원회/2002년월드컵등국제경기대회지원특별위원회, 문화관광위원회, 문화체육공보위원회/정무위원회, 문화관광위원회",3선,"제14대, 제15대, 제16대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/LIE6050F.jpg
95S94954,역대의원,최재욱,崔在旭,Choi jae-wook,음,1940-10-01,null,민주정의당/민주자유당,대구 달서구을,전국구/지역구,null,"교육체육청소년위원회, 문교체육위원회, 문화공보위원회, 5.18광주민주화운동진상조사특별위원회, 통일정책특별위원회, 국회운영위원회, 상공위원회/문화체육공보위원회, 교육위원회, 예산결산특별위원회, 정치관계법심의특별위원회, 건설위원회, 국회운영위원회",재선,"제13대, 제14대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/95S94954.jpg
2Z21631Z,역대의원,최재천,崔載千,CHOI Jae Cheon,양,1963-11-19,국회의원,열린우리당/민주통합당,서울 성동구갑/서울 성동구갑,지역구/지역구,null,"대법관(차한성)임명동의에관한인사청문특별위원회, 농림해양수산위원회, 한·미자유무역협정(FTA)체결대책특별위원회, 헌법재판소장(전효숙)임명동의및헌법재판소재판관(목영준,이동흡)선출에관한인사청문특별위, 대법관(김능환,박일환,안대희,이홍훈,전수안)임명동의에관한인사청문특별위원회, 통일외교통상위원회, 국무총리(한명숙)임명동의에관한인사청문특별위원회, 대법관(김지형)임명동의에관한인사청문특별위원회, 대법관(김황식)임명동의에관한인사청문특별위원회, 중국의고구려사왜곡대책특별위원회, 대법관(양승태)임명동의에관한인사청문특별위원회, 법제사법위원회, 정보위원회, 이라크내테러집단에의한한국인피살사건관련진상조사특별위원회/외교통일위원회, 통상관계대책 특별위원회, 예산결산특별위원회, 방송공정성 특별위원회, 헌법재판소장(박한철) 임명동의에 관한 인사청문특별위원회, 미래창조과학방송통신위원회, 헌법재판소 재판관 후보자를 겸한 헌법재판소장(이동흡) 임명동의에 관한 인사청문특별위원회, 문화체육관광방송통신위원회, 대법관(고영한·김병화·김신·김창석)임명동의에 관한 인사청문특별위원회",재선,"제17대, 제19대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/2Z21631Z.jpg
6RM29022,역대의원,최재형,崔在亨,CHOEJAEHYEONG,음,1956-09-02,null,국민의힘,서울 종로구,지역구,null,null,초선,제21대,남,null,null,null,null,null,null,[학력]  1969  서울 남산초등학교 졸업 1972  한영중학교 졸업 1975  경기고등학교 졸업 1979  서울대학교 법과대학 법학과 졸업  [주요경력] 2022.11. ~ 2023.5. 국민의힘 인권위원회 위원장  2022.06. ~ 2022.12. 국민의힘 혁신위원회 위원장  2022.02. ~ 現 국민의힘 종로구 당협위원장  2018  제24대 감사원 원장 2017  제26대 사법연수원 원장 2015  서울고등법원 부장판사 2014  제37대 서울가정법원 법원장 2012  제50대 대전지방법원 법원장 1986  육군 중위 전역(군법무관) 1983  제13기 사법연수원 수료 1981  제23회 사법시험 합격,null,https://www.assembly.go.kr/static/portal/img/openassm/6RM29022.jpg
XDJ1378K,역대의원,최정기,崔貞基,null,음,1913-04-20,null,민주공화당,null,전국구,null,"국회운영위원회, 문교공보위원회",초선,제6대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/XDJ1378K.jpg
HRZ2823G,역대의원,최정식,崔正植,Choi Joung-sick,음,1929-02-11,null,통일민주당,강원 속초시고성군,지역구,null,"보건사회위원회, 예산결산특별위원회, 상공위원회, 세계잼버리지원특별위원회, 5.18광주민주화운동진상조사특별위원회, 내무위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/HRZ2823G.jpg
R4315191,역대의원,최종성,崔鍾聲,null,음,1927-12-18,null,민주공화당,충남 보령,지역구,null,"상공위원회, 농림위원회, 교통체신위원회, 예산결산특별위원회, 내무위원회, 법제사법위원회",초선,제8대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/R4315191.jpg
SCA7983X,역대의원,최종원,崔鍾元,Choi Jong Won,음,1950-01-27,null,민주당,강원 태백시영월군평창군정선군,지역구,null,"평창동계올림픽 및 국제경기대회지원특별위원회, 국제경기대회개최 및 유치지원특별위원회, 예산결산특별위원회, 문화체육관광방송통신위원회",초선,제18대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/SCA7983X.jpg
Z7Y7827F,역대의원,최종윤,崔鍾允,CHOI JONGYOON,음,1966-02-27,null,더불어민주당,경기 하남시,지역구,null,null,초선,제21대,남,null,null,null,null,null,null,"- 하남시 미사동 출생 - 고려대학교 노어노문학과 졸업 - 現 제21대 국회의원 - 現 국회 정무위원회 위원 - 現 민주주의4.0 연구원 감사 - 現 더불어민주당 원내부대표 - 現 국회 인구특별위원회 간사  - 더불어민주당 사회복지특별위원회 위원장 - 더불어민주당 정책위원회 상임부의장 - 서울특별시 정무수석 비서관 - 단국대학교 겸임교수 - 제19대 대통령선거 문재인후보 정무특보 - 제16,17,19대 국회의원 보좌관 - 제1기 전국대학생대표자협의회 사무국장",null,https://www.assembly.go.kr/static/portal/img/openassm/Z7Y7827F.jpg
8Y95884B,역대의원,최주일,崔主日,null,음,1906-04-20,null,대한청년단,전북 김제을,지역구,null,내무위원회,초선,제2대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/8Y95884B.jpg
8AB5034R,역대의원,최준길,崔駿吉,null,음,1913-08-03,null,무소속,강원 명주,지역구,null,재정경제위원회,초선,제5대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/8AB5034R.jpg
CY918489,역대의원,최창규,崔昌圭,"choi, Chang-kyu",음,1937-06-23,null,민주정의당/민주정의당,"충남 청양,홍성,예산군/충남 청양,홍성,예산군",지역구/지역구,null,"예산결산특별위원회, 문교공보위원회/내무위원회",재선,"제11대, 제12대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/CY918489.jpg
0RV56457,역대의원,최창섭,崔昌燮,null,음,1899-04-29,null,무소속/자유당/자유당,경남 합천을/경남 합천군을/경남 합천군을,지역구/지역구/지역구,null,"보건사회위원회, 내무위원회/내무위원회, 보건사회위원회",3선,"제헌, 제3대, 제4대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/0RV56457.jpg
C0E9428E,역대의원,최창윤,崔昌潤,Choi Chang-yoon,음,1939-09-07,null,민주정의당,null,전국구,null,"통일정책특별위원회, 행정위원회",초선,제13대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/C0E9428E.jpg
SHS9947V,역대의원,최천,崔天,null,음,1900-08-16,null,민주국민당/민주당/민주당,경남 통영군/경남 충무/경남 충무군,지역구/지역구/지역구,null,"상공위원회/양민학살사건진상조사특별위원회, 상공위원회/상공위원회",3선,"제3대, 제4대, 제5대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/SHS9947V.jpg
0Y39862U,역대의원,최철국,崔喆國,Choi Chul Kook,음,1952-12-30,국회의원,열린우리당/통합민주당,경남 김해시을/경남 김해시을,지역구/지역구,null,"국회운영위원회, 지방행정체제개편특별위원회, 정치개혁특별위원회, 산업자원위원회, 예산결산특별위원회/국토해양위원회, 예산결산특별위원회, 지방행정체제개편특별위원회, 일자리창출 및 중소기업경쟁력특별위원회, 지식경제위원회, 민생안정대책특별위원회",재선,"제17대, 제18대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/0Y39862U.jpg
3DK8989T,역대의원,최춘식,崔春植,CHOI CHUNSIK,양,1956-03-14,null,미래통합당,경기 포천시가평군,지역구,null,null,초선,제21대,남,null,null,null,null,null,null,[학력]  육군3사관학교 졸 대진대 경제학과 졸 한경대 대학원 경영학 석사  [경력]  현) 제21대 국회의원(국민의힘/경기 포천시.가평군) 현) 국회 농림축산식품해양수산위원회 위원  전) 국회 행정안전위원회 간사 전) 국회 행정안전위원회 위원 전) 국민의힘 원내부대표 전) 국민의힘 선거대책본부 정책본부 코로나회복특별위원회 위원장 전) 국민의힘 경기도당 위원장 전) 국민의힘 코로나19 대책 특별위원회 위원   경기 포천시주민자치위원연합회 회장 경기도의회 의원(새누리당ㆍ바른정당ㆍ자유한국당) 미래통합당 경기도당 부위원장   [상훈] 대한민국글로벌브랜드대상 정치부문(2020)  ,null,https://www.assembly.go.kr/static/portal/img/openassm/3DK8989T.jpg
55Q77773,역대의원,최치환,崔致煥,"Choi, Chi-whan",음,1923-10-22,null,무소속/민주공화당/민주공화당/무소속/한국국민당,"경남 남해군/경남 남해군/경남 남해군/경남 남해,하동군/경남 남해,하동군",지역구/지역구/지역구/지역구/지역구,null,"내무위원회/박한상의원및최영철기자테러사건진상조사특별위원회, 한일간조약과제협정비준동의안심사특별위원회, 내무위원회/예산결산특별위원회, 건설위원회/국방위원회/내무위원회",5선,"제5대, 제6대, 제7대, 제10대, 제12대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/55Q77773.jpg
CNN8306C,역대의원,최태규,崔泰奎,null,음,1920-03-20,null,무소속,강원 정선,지역구,null,null,초선,제헌,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/CNN8306C.jpg
4F14897J,역대의원,최태능,崔泰能,null,음,1909-02-29,null,민주당,경북 영일갑,지역구,null,내무위원회,초선,제5대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/4F14897J.jpg
LKZ9743L,역대의원,최태호,崔泰浩,null,음,1929-10-16,null,유신정우회,null,통일주체국민회의,null,보건사회위원회,초선,제10대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/LKZ9743L.jpg
XK453285,역대의원,최하영,崔夏永,null,음,1908-07-18,null,무소속,경기 이천,지역구,null,null,초선,제5대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/XK453285.jpg
9RX1045U,역대의원,최해용,崔海鎔,null,음,1920-10-30,null,민주당,경북 영일을,지역구,null,상공위원회,초선,제5대,남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/9RX1045U.jpg
LF11072P,역대의원,최헌길,崔獻吉,null,음,1901-02-19,null,대한독립촉성국민회/대한국민당,강원 강릉을/강원 강릉을,지역구/지역구,null,"재정경제위원회/농림위원회, 재정경제위원회",재선,"제헌, 제2대",남,null,null,null,null,null,null,null,null,https://www.assembly.go.kr/static/portal/img/openassm/LF11072P.jpg
